Date,AEP_MW
2014-01-05,17079.934523809523
2014-01-12,18028.386904761905
2014-01-19,17072.845238095237
2014-01-26,19659.845238095237
2014-02-02,18926.958333333336
2014-02-09,17988.60714285714
2014-02-16,18368.51785714286
2014-02-23,15794.45238095238
2014-03-02,17569.690476190477
2014-03-09,16949.73317805383
2014-03-16,15280.508281573499
2014-03-23,15142.672619047618
2014-03-30,15726.529761904761
2014-04-06,13750.458333333332
2014-04-13,13249.952380952382
2014-04-20,13475.666666666668
2014-04-27,13016.952380952382
2014-05-04,12941.785714285714
2014-05-11,13286.267857142857
2014-05-18,13729.333333333332
2014-05-25,13273.32142857143
2014-06-01,14437.470238095239
2014-06-08,14418.238095238095
2014-06-15,14138.041666666668
2014-06-22,15965.119047619048
2014-06-29,16167.619047619048
2014-07-06,14681.005952380952
2014-07-13,15756.67857142857
2014-07-20,14280.267857142857
2014-07-27,15519.57142857143
2014-08-03,14105.738095238095
2014-08-10,15137.214285714286
2014-08-17,14470.166666666668
2014-08-24,16104.107142857143
2014-08-31,15986.410714285714
2014-09-07,15707.684523809525
2014-09-14,13772.142857142857
2014-09-21,13244.125
2014-09-28,13230.208333333332
2014-10-05,13302.601190476193
2014-10-12,13026.922619047618
2014-10-19,13144.30357142857
2014-10-26,13615.726190476193
2014-11-02,14012.606904761906
2014-11-09,14248.732142857143
2014-11-16,15552.011904761905
2014-11-23,17118.416666666668
2014-11-30,14697.61904761905
2014-12-07,15668.291666666668
2014-12-14,16579.738095238095
2014-12-21,16319.047619047618
2014-12-28,13894.732142857143
2015-01-04,15548.910714285714
2015-01-11,19257.2619047619
2015-01-18,17302.720238095237
2015-01-25,16284.05357142857
2015-02-01,17612.52976190476
2015-02-08,17092.416666666668
2015-02-15,18008.416666666664
2015-02-22,20132.315476190477
2015-03-01,18515.89880952381
2015-03-08,16976.1433747412
2015-03-15,14398.011904761905
2015-03-22,14339.309523809525
2015-03-29,14986.738095238095
2015-04-05,13492.142857142857
2015-04-12,13128.184523809525
2015-04-19,12826.494047619048
2015-04-26,13242.875
2015-05-03,12985.148809523811
2015-05-10,14113.208333333332
2015-05-17,13720.42857142857
2015-05-24,13278.875
2015-05-31,14515.845238095239
2015-06-07,13792.035714285714
2015-06-14,15705.976190476189
2015-06-21,15912.94642857143
2015-06-28,15417.285714285714
2015-07-05,13431.035714285714
2015-07-12,14939.392857142857
2015-07-19,15609.220238095239
2015-07-26,16154.00595238095
2015-08-02,16650.869047619046
2015-08-09,15489.869047619048
2015-08-16,15657.773809523811
2015-08-23,15577.017857142857
2015-08-30,14296.339285714286
2015-09-06,16208.738095238095
2015-09-13,14640.904761904761
2015-09-20,13897.107142857143
2015-09-27,13478.767857142857
2015-10-04,13162.17261904762
2015-10-11,12925.982142857143
2015-10-18,13068.601190476189
2015-10-25,13043.934523809523
2015-11-01,13174.779523809524
2015-11-08,12993.101190476189
2015-11-15,13619.07142857143
2015-11-22,13845.82738095238
2015-11-29,13239.61904761905
2015-12-06,14946.839285714286
2015-12-13,14116.761904761905
2015-12-20,14879.255952380952
2015-12-27,12680.523809523807
2016-01-03,14181.708333333332
2016-01-10,16177.75595238095
2016-01-17,17046.916666666668
2016-01-24,18788.797619047622
2016-01-31,16042.517857142857
2016-02-07,15149.142857142857
2016-02-14,18135.72619047619
2016-02-21,15458.82738095238
2016-02-28,15113.404761904763
2016-03-06,15303.32142857143
2016-03-13,13215.224896480331
2016-03-20,13314.107142857143
2016-03-27,13086.833333333332
2016-04-03,13151.404761904761
2016-04-10,14329.82142857143
2016-04-17,13015.988095238095
2016-04-24,12651.154761904763
2016-05-01,12792.523809523811
2016-05-08,12572.422619047618
2016-05-15,12803.886904761905
2016-05-22,12575.380952380952
2016-05-29,14019.559523809525
2016-06-05,14648.714285714286
2016-06-12,14397.904761904761
2016-06-19,15119.916666666668
2016-06-26,15531.952380952382
2016-07-03,14416.505952380952
